status file for recon-all
Thu Sep  7 12:42:37 EDT 2017
#@# MotionCor Thu Sep  7 12:42:44 EDT 2017
#@# Talairach Thu Sep  7 12:43:02 EDT 2017
#@# Talairach Failure Detection Thu Sep  7 12:49:00 EDT 2017
#@# Nu Intensity Correction Thu Sep  7 12:49:01 EDT 2017
#@# Intensity Normalization Thu Sep  7 12:58:13 EDT 2017
#@# Skull Stripping Thu Sep  7 13:01:18 EDT 2017
#@# EM Registration Thu Sep  7 13:32:05 EDT 2017
#@# CA Normalize Thu Sep  7 13:54:46 EDT 2017
#@# CA Reg Thu Sep  7 13:56:30 EDT 2017
#@# CA Reg Inv Thu Sep  7 17:43:19 EDT 2017
#@# Remove Neck Thu Sep  7 17:44:26 EDT 2017
#@# SkullLTA Thu Sep  7 17:45:33 EDT 2017
#@# SubCort Seg Thu Sep  7 18:11:37 EDT 2017
#@# Merge ASeg Thu Sep  7 18:34:47 EDT 2017
#@# Intensity Normalization2 Thu Sep  7 18:34:47 EDT 2017
#@# Mask BFS Thu Sep  7 18:38:44 EDT 2017
#@# WM Segmentation Thu Sep  7 18:38:47 EDT 2017
#@# Fill Thu Sep  7 18:41:40 EDT 2017
#@# Tessellate lh Thu Sep  7 18:42:30 EDT 2017
#@# Smooth1 lh Thu Sep  7 18:42:40 EDT 2017
#@# Inflation1 lh Thu Sep  7 18:42:46 EDT 2017
#@# QSphere lh Thu Sep  7 18:43:26 EDT 2017
#@# Fix Topology lh Thu Sep  7 18:48:54 EDT 2017
#@# Make White Surf lh Thu Sep  7 19:05:20 EDT 2017
#@# Smooth2 lh Thu Sep  7 19:11:41 EDT 2017
#@# Inflation2 lh Thu Sep  7 19:11:48 EDT 2017
#@# Curvature Stats lh Thu Sep  7 19:14:12 EDT 2017
#@# Sphere lh Thu Sep  7 19:14:19 EDT 2017
#@# Surf Reg lh Thu Sep  7 20:16:12 EDT 2017
#@# Jacobian white lh Thu Sep  7 20:49:52 EDT 2017
#@# AvgCurv lh Thu Sep  7 20:49:55 EDT 2017
#@# Cortical Parc lh Thu Sep  7 20:49:57 EDT 2017
#@# Make Pial Surf lh Thu Sep  7 20:50:55 EDT 2017
#@# Surf Volume lh Thu Sep  7 21:04:11 EDT 2017
#@# WM/GM Contrast lh Thu Sep  7 21:04:12 EDT 2017
#@# Parcellation Stats lh Thu Sep  7 21:04:24 EDT 2017
#@# Cortical Parc 2 lh Thu Sep  7 21:04:48 EDT 2017
#@# Parcellation Stats 2 lh Thu Sep  7 21:05:53 EDT 2017
#@# Cortical Parc 3 lh Thu Sep  7 21:06:20 EDT 2017
#@# Parcellation Stats 3 lh Thu Sep  7 21:07:17 EDT 2017
#@# Tessellate rh Thu Sep  7 21:07:42 EDT 2017
#@# Smooth1 rh Thu Sep  7 21:07:52 EDT 2017
#@# Inflation1 rh Thu Sep  7 21:07:58 EDT 2017
#@# QSphere rh Thu Sep  7 21:08:38 EDT 2017
#@# Fix Topology rh Thu Sep  7 21:13:55 EDT 2017
#@# Make White Surf rh Thu Sep  7 21:37:49 EDT 2017
#@# Smooth2 rh Thu Sep  7 21:44:27 EDT 2017
#@# Inflation2 rh Thu Sep  7 21:44:33 EDT 2017
#@# Curvature Stats rh Thu Sep  7 21:46:57 EDT 2017
#@# Sphere rh Thu Sep  7 21:47:04 EDT 2017
#@# Surf Reg rh Thu Sep  7 22:41:29 EDT 2017
#@# Jacobian white rh Thu Sep  7 23:15:47 EDT 2017
#@# AvgCurv rh Thu Sep  7 23:15:50 EDT 2017
#@# Cortical Parc rh Thu Sep  7 23:15:53 EDT 2017
#@# Make Pial Surf rh Thu Sep  7 23:16:50 EDT 2017
#@# Surf Volume rh Thu Sep  7 23:30:32 EDT 2017
#@# WM/GM Contrast rh Thu Sep  7 23:30:33 EDT 2017
#@# Parcellation Stats rh Thu Sep  7 23:30:46 EDT 2017
#@# Cortical Parc 2 rh Thu Sep  7 23:31:10 EDT 2017
#@# Parcellation Stats 2 rh Thu Sep  7 23:32:15 EDT 2017
#@# Cortical Parc 3 rh Thu Sep  7 23:32:41 EDT 2017
#@# Parcellation Stats 3 rh Thu Sep  7 23:33:37 EDT 2017
#@# Cortical ribbon mask Thu Sep  7 23:34:01 EDT 2017
#@# ASeg Stats Thu Sep  7 23:47:08 EDT 2017
#@# AParc-to-ASeg Thu Sep  7 23:50:56 EDT 2017
#@# WMParc Thu Sep  7 23:55:04 EDT 2017
#@# BA Labels lh Fri Sep  8 00:08:30 EDT 2017
#@# BA Labels rh Fri Sep  8 00:13:49 EDT 2017
#@# Ex-vivo Entorhinal Cortex Label lh Fri Sep  8 00:18:59 EDT 2017
#@# Ex-vivo Entorhinal Cortex Label rh Fri Sep  8 00:19:17 EDT 2017
recon-all -s colin27 finished without error at Fri Sep  8 00:19:35 EDT 2017
