"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.63519,-0.71373,0.29516,60.436,-29.692,8.0453
0.81318,-0.57695,0.076617,60.79,-29.402,7.4789
0.85121,-0.44758,0.20427,60.864,-29.154,7.789
0.63927,-0.70741,0.29569,60.444,-29.68,8.046
0.88465,-0.46483,0.036308,61.051,-28.948,7.0788
0.88666,-0.38021,0.20945,60.982,-28.928,7.6788
0.22842,-0.97323,0.025393,59.717,-30.209,7.5036
0.61899,-0.71941,0.30075,60.408,-29.701,8.0566
0.18833,-0.89233,0.37226,59.641,-29.993,8.2017
-0.25873,-0.93946,0.22467,58.856,-30.146,7.886
0.038838,-0.89472,0.37948,59.378,-30.008,8.2103
0.93462,-0.23822,0.26407,61.512,-28.052,6.7546
0.93725,-0.15205,0.30439,61.316,-28.145,7.2974
0.92034,-0.22296,0.22952,61.142,-28.459,7.4507
0.8525,0.15738,0.49848,61.7,-27.064,6.4769
0.88115,0.10026,0.45691,61.508,-27.359,6.915
0.91441,-0.041797,0.371,61.403,-27.747,7.1041
0.6609,0.37067,0.65255,61.72,-26.156,5.8961
0.68566,0.45683,0.55719,61.32,-26.268,6.3868
0.77379,0.34113,0.49799,61.372,-26.687,6.5897
0.52396,0.38219,0.76118,61.573,-25.464,5.6488
0.56663,0.47215,0.67006,61.08,-25.478,6.0049
0.60141,0.47479,0.63906,61.085,-25.642,6.0843
0.42526,0.47918,0.76782,61.204,-24.836,5.5157
0.51517,0.49494,0.6921,61.025,-25.205,5.8727
0.38544,0.49751,0.77712,60.586,-23.931,5.2219
0.40046,0.50665,0.76119,60.567,-24.035,5.307
0.45629,0.51713,0.72016,60.865,-24.767,5.6611
0.31267,0.49355,0.81157,60.725,-23.351,4.8274
0.35567,0.51688,0.7784,60.306,-23.221,4.9134
0.36949,0.51208,0.77524,60.369,-23.456,5.0272
0.23531,0.53748,0.80978,60.715,-22.803,4.4874
0.3514,0.52115,0.77697,60.289,-23.174,4.8906
0.24711,0.67391,0.69626,60.01,-22.158,4.1558
0.35136,0.62779,0.68866,59.818,-22.482,4.5576
0.34268,0.57383,0.73526,60.113,-22.733,4.678
0.2314,0.78745,0.57129,59.479,-21.652,3.7938
0.32086,0.77496,0.53028,59.149,-21.793,4.2264
0.3113,0.69855,0.62694,59.596,-22.114,4.3799
0.21607,0.87795,0.42722,58.551,-21.207,3.5841
0.25774,0.21851,0.94118,62.694,-15.776,1.1114
0.35045,0.31829,0.88084,63.006,-15.068,0.76165
0.078374,0.42059,0.89762,62.448,-15.033,0.93152
0.068103,0.40833,0.90479,62.412,-15.118,0.97289
-0.12707,0.20409,0.97067,62.135,-15.717,1.1289
0.016492,0.39911,0.91063,62.337,-15.134,0.98069
-0.29401,0.38838,0.87333,61.917,-15.144,0.95669
-0.10566,0.41402,0.88818,62.173,-15.079,0.95521
0.084225,0.59028,0.80279,62.713,-14.449,0.55037
0.050757,0.46567,0.88026,62.442,-14.912,0.87258
-0.32286,0.58757,0.74197,61.672,-14.54,0.38801
0.015454,0.44544,0.88824,62.322,-14.993,0.91244
0.37047,-0.13615,0.91881,57.804,12.309,-12.728
0.33849,0.19031,0.92153,57.879,12.957,-12.763
0.26448,0.33362,0.90485,58.253,13.57,-13.098
-0.040119,0.67056,0.74077,57.564,14.353,-13.496
0.31229,-0.68792,0.65516,12.737,-84.801,-10.211
0.62582,-0.49813,0.60018,13.161,-84.029,-9.9543
-0.016983,-0.87255,0.48822,12.608,-85.283,-10.848
-0.34832,-0.90252,0.25322,12.028,-85.464,-11.709
