Parcel_index,Nieuwenhuys_parcel,Lobe,GLI_exist,GLI_lateral,GLI_superior,GLI_median,GLI_inferior,GLI_Mean,Depth_exist,Baillarger_type,Baillarger_type_detail,Intrusion_type,Density_type,Reference,Original_information_source,Depth_profle
1,1,Frontal,1,,,168,134,151,0,,,,,,,
2,2,Frontal,1,,,,159,159,1,Unistriate,,Euradiate,,Strasburger1937a,"Stefan Geyer, Robert Turner - [Microstructural Parcellation of the Human Cerebral Cortex] - 76p (Fig 3.15)","[157.83  177.25  194.625 189.64  197.15  192.535 209.645 227.4   238.11 241.19  234.69  226.115 233.715 237.125 220.605 221.33  200.22  212.955 194.29  186.155 195.195 185.6   172.79  189.15  182.755 178.805 157.36 182.48  177.34  156.42  145.435 142.795 135.215 131.215 129.02  110.705 117.555 109.695 107.43  117.7   105.15   87.79   85.7    72.01   91.075  72.365  68.02   71.475  54.645  47.815  57.165  61.565  56.7    55.795  61.135  64.16   85.055  66.745  85.155  57.33   64.105  78.17   45.41  51.865  48.405  50.16   50.235  45.845  56.51   45.97   47.855  42.04  42.07   38.07   42.895  44.005  44.095  60.335  55.765  52.785  47.05  57.925  50.695  44.05   34.32   43.075  34.115  29.41   32.945  28.41  25.185  23.655  18.6    15.805  11.635   6.9    12.21   11.185  11.155  10.3  ]"
3,3,Frontal,1,,,173,,173,0,,,,,,,
4,4,Frontal,1,,,159,159,159,0,,,,,,,
5,5,Frontal,1,,,,144,144,1,Unistriate,,Euradiate,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 5p (Fig 11)","[251.685      243.825      242.705      240.985      240.845  239.545      228.4        231.565      235.18833333 232.795  232.19333333 231.36       225.46       222.40166667 221.81333333  220.755      220.71       220.405      219.90833333 216.00166667  214.54666667 215.36833333 213.465      213.20666667 212.40833333  210.94       207.93       205.55166667 203.42833333 201.36166667  199.00333333 193.27333333 191.26666667 191.265      190.17  178.02333333 173.79833333 169.30666667 159.935      142.41166667  138.20833333 137.02       134.51666667 134.15333333 126.47  132.9        141.43666667 149.83       148.43666667 140.56333333  137.85166667 131.645      125.74833333 114.53333333 110.08166667   95.02166667  88.94        81.48666667  90.55        85.71   91.18333333  96.26333333  83.90833333  88.915       87.64833333   77.13666667  60.71833333  55.22666667  46.83833333  38.94333333   37.155       30.88333333  28.68333333  27.74333333  27.04333333   27.495       25.55166667  27.49333333  27.995       26.73833333   28.25333333  29.25833333  30.175       26.22        28.09833333   26.96        26.25        24.94333333  26.32666667  24.83166667   27.79833333  26.24        22.82166667  20.835       21.155   23.55        23.85833333  21.71833333  22.43166667  21.79666667]"
6,6,Frontal,1,,,168,169,169,0,,,,,,,
7,8,Frontal,1,,,,156,156,0,,,,,,,
8,9,Frontal,1,,,,147,147,0,,,,,,,
9,10,Frontal,1,,,185,,185,1,Unistriate,,,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 5p (Fig 11)","[240.68       244.165      243.29       241.25       237.52333333  235.27166667 235.33       233.675      232.755      231.525  231.425      229.64       229.225      227.10333333 217.085  219.81333333 219.35833333 218.67666667 217.51833333 217.44166667  217.355      208.98166667 215.955      212.76166667 216.63666667  216.315      214.605      214.67333333 211.20666667 211.07833333  211.82166667 209.65333333 206.80333333 203.78       197.56833333  194.82833333 191.895      186.79       189.18       190.52  189.41       191.68166667 192.47666667 186.15       189.15166667  186.09666667 179.39666667 174.13833333 170.83       163.71666667  162.065      153.30833333 155.26       154.86666667 159.31166667  159.45       160.61       154.91666667 156.95166667 158.01  155.22166667 145.09       144.27333333 143.87166667 145.44333333  141.61833333 134.4        130.53833333 123.325      119.43166667  117.32833333 109.09166667  92.92        92.98666667  89.67333333   77.065       72.37666667  58.87        56.86        52.145   49.09666667  42.43833333  41.20333333  31.46666667  36.15333333   33.21166667  35.00333333  29.51666667  35.18166667  32.67333333   29.33        29.39833333  26.805       24.64333333  24.785   23.66        22.06        24.79        23.68833333  26.715     ]"
10,11,Frontal,1,,,186,196,191,0,,,,,,,
